,Unnamed: 0,text,ans,translated
43,43,"	1.44. Утром папа, мама, сын и дочь съели каждый по 2 блинчика. Сколько всего блинчиков съела семья утром за завтраком?",неизвестно," In the morning, dad, mom, son and daughter each ate 2 pancakes. How many pancakes did the family eat in the morning at breakfast? "
44,44,"	1.45. Звездочёт в телескоп наблюдал 13 красных звёзд, синих – на 15 больше, а голубых – столько, сколько красных и синих вместе. Сколько голубых звёзд на небе увидел звездочёт?",неизвестно," Astrologer observed 13 red stars through a telescope, blue - 15 more, and blue - as many as red and blue together. How many blue stars did the astrologer see in the sky?"
45,45,	1.46. Периметр квадрата 16 см. Узнай длину стороны этого квадрата.,неизвестно,The perimeter of the square is 16 cm. Find out the length of the side of this square. 
46,46,"	1.47. У Вовы было несколько тетрадей. Когда он купил ещё 4 тетради, то их стало 11. Сколько тетрадей было у Вовы сначала?",неизвестно," Vova had several notebooks. When he bought 4 more notebooks, there were 11 of them. How many notebooks did Vova have at first? "
47,47,"	1.48. На грядке росло 32 огурца. Вечером для салата сорвали 12 огурцов, а через два дня на грядке выросло ещё 9 огурцов. Сколько огурцов стало на грядке?",неизвестно," There were 32 cucumbers in the garden. In the evening, 12 cucumbers were picked for the salad, and two days later another 9 cucumbers grew on the garden bed. How many cucumbers are there in the garden?"
48,48,"	1.49. Лена для урока технологии купила пластилин. Сколько стоит пластилин, если Лена дала продавцу 50 руб. и получила сдачу 26 руб.?",неизвестно,Lena bought plasticine for a technology lesson. How much does plasticine cost if Lena gave the seller 50 rubles? and got change of 26 rubles? 
49,49,	1.50. В автобусе ехали 13 мужчин и 10 женщин. На остановке сели ещё 3 человека. Сколько людей стало в автобусе?,неизвестно, There were 13 men and 10 women on the bus. 3 more people sat down at the bus stop. How many people were on the bus? 
50,50,	1.51. Маша получила 8 шариков и Миша столько же. Сколько шариков у ребят всего?,неизвестно, Masha got 8 balls and Misha got the same amount. How many balls do the guys have in total?
51,51,"	1.52. На уроке физкультуры Петя подтянулся 9 раз, а Максим – на 3 раза больше. Сколько раз подтянулись оба ученика?",спорт,"In the physical education lesson, Petya pulled himself up 9 times, and Maxim - 3 times more. How many times did both students pull up? "
52,52,"	1.53. Для уроков технологии приготовили 6 листов жёлтой бумаги, а зелёной – на 7 листов больше. Сколько зелёной бумаги приготовили для уроков технологии?",неизвестно," We prepared 6 sheets of yellow paper for technology lessons, and 7 more sheets of green paper. How much green paper was prepared for the technology lessons? "
53,53,"	1.54. Первоклассники на уроке математики для счёта из коробки взяли 8 мячей, после этого в ней осталось 5 мячей. Сколько мячей было в коробке?",неизвестно," First-graders took 8 balls out of the box for counting in mathematics lesson, after that there were 5 balls left in it. How many balls were in the box?"
54,54,"	1.55. На каруселях катались 11 озорных детей, из них 8 девчушек-хохотушек, остальные мальчики-хулиганчики. Сколько мальчиков-хулиганчиков катались на каруселях?",неизвестно,"11 mischievous children rode on the merry-go-rounds, of which 8 were laughing girls, the rest were hooligan boys. How many bully boys have ridden the merry-go-rounds? "
55,55,"	1.56. Во дворе гуляли 17 кур, 2 курицы убежали на улицу, а во двор прибежали 4 петуха. Сколько птиц стало во дворе?",животные," 17 chickens were walking in the yard, 2 chickens ran into the street, and 4 roosters ran into the yard. How many birds are there in the yard? "
56,56,"	1.57. К празднику купили 13 бананов, а апельсинов – на 5 меньше. Сколько фруктов купили?",неизвестно," We bought 13 bananas for the holiday, and 5 fewer oranges. How many fruits did you buy?"
57,57,	1.58. Начерти один отрезок длиной 8 см. Ниже начерти второй отрезок длиннее первого на 2 см.,неизвестно,Draw one segment 8 cm long. Draw a second segment 2 cm longer than the first. 
58,58,	1.59. Начерти один отрезок длиной 12 см. Ниже начерти второй отрезок короче первого на 5 см.,неизвестно, Draw one segment 12 cm long. Draw a second segment 5 cm shorter than the first. 
59,59,"	1.60. Даша угостила подруг конфетами. Когда она дала Полине 6 конфет, Марине – 8, у неё осталось 4 конфеты. Сколько конфет было у Даши?",неизвестно," Dasha treated her friends with sweets. When she gave Polina 6 candies, Marina - 8, she had 4 candies left. How many sweets did Dasha have?"
60,60,"	1.61. У бабушки на тарелке было 11 блинчиков. Она отдала 5 блинчиков Ане, а сама испекла ещё 8. Сколько блинчиков стало на тарелке?",неизвестно,"Grandma had 11 pancakes on her plate. She gave 5 pancakes to Anya, and she baked another 8. How many pancakes were on the plate? "
61,61,"	1.62. Магазин получил 3 ящика абрикосов и 2 ящика персиков. После того как привезли ещё несколько ящиков фруктов, в магазине стало 13 ящиков. Сколько ящиков фруктов привезли?",неизвестно," The store received 3 crates of apricots and 2 crates of peaches. After they brought in a few more boxes of fruit, there were 13 boxes in the store. How many boxes of fruit have you brought? "
62,62,"	1.63. У Серёжи было 13 тетрадей в клетку и столько же в линейку. После того как он купил ещё несколько тетрадей, их стало 29. Сколько ещё тетрадей купил Серёжа?",неизвестно," Seryozha had 13 squared notebooks and the same number in a line. After he bought a few more notebooks, there were 29 of them. How many more notebooks did Seryozha buy?"
63,63,"	1.64. В саду 15 яблонь, а вишен на 5 больше, чем яблонь. Сколько всего деревьев в саду?",неизвестно,"There are 15 apple trees in the garden, and there are 5 more cherries than apple trees. How many trees are there in the garden? "
64,64,"	1.65. Утка может прожить 15 лет, а гусь – 18 лет. На сколько лет гусь живёт дольше утки?",животные, A duck can live 15 years and a goose 18 years. How many years does a goose live longer than a duck? 
65,65,"	1.66. На выставке были две тыквы: одна массой 40 кг, а другая – 36 кг. На сколько килограммов первая тыква тяжелее второй?",неизвестно, There were two pumpkins at the exhibition: one weighing 40 kg and the other 36 kg. How many kilograms is the first pumpkin heavier than the second?
66,66,"	1.67. Три класса посадили 60 деревьев. Первый класс посадил 10 деревьев,  второй – 20. Сколько деревьев посадил третий класс?",неизвестно,"Three classes planted 60 trees. The first class planted 10 trees, the second class 20. How many trees did the third class plant? "
67,67,"	1.68. У трёх девочек 15 конфет. У первой девочки 5 конфет, у второй 3 конфеты. Сколько конфет у третьей девочки?",неизвестно," Three girls have 15 candies. The first girl has 5 candies, the second has 3 candies. How many sweets does the third girl have? "
68,68,"	1.69. В классе в горшках 18 растений. На первом окне 6 растений, на втором – 7. Сколько растений на третьем окне?",неизвестно," There are 18 potted plants in the classroom. On the first window there are 6 plants, on the second - 7. How many plants are on the third window?"
69,69,"	1.70. Мама испекла 16 пирожков с рисом, это на 9 пирожков меньше, чем с мясом. Сколько пирожков с мясом испекла мама?",неизвестно,"Mom baked 16 pies with rice, which is 9 pies less than with meat. How many meat pies did mom bake? "
70,70,"	1.71. Ирина купила 12 тетрадей в клетку, это на 8 тетрадей больше, чем в линейку. Сколько тетрадей в линейку купила Ирина?",неизвестно," Irina bought 12 squared notebooks, which is 8 more than a ruler. How many notebooks in a line did Irina buy? "
71,71,	1.72. Свете 8 лет. Она моложе мамы на 19 лет. Сколько лет маме?,неизвестно, Sveta is 8 years old. She is 19 years younger than her mother. How old is mom?
72,72,"	1.73. На полке 20 художественных книг. В первый день взяли почитать 5 книг, во второй – 4. Сколько книг осталось на полке?",литература,"There are 20 art books on the shelf. On the first day they took 5 books to read, on the second - 4. How many books are left on the shelf? "
73,73,	1.74. В классе было 11 девочек и 9 мальчиков. На городские соревнования уехали 4 ученика. Сколько человек осталось в классе?,неизвестно, There were 11 girls and 9 boys in the class. 4 students left for city competitions. How many people are left in the class? 
74,74,"	1.75. В школьном хоре пели 10 девочек и столько же мальчиков. Когда в хор пришли ещё несколько человек, их стало 25. Сколько человек пришли в хор?",неизвестно," 10 girls and the same number of boys sang in the school choir. When a few more people came to the choir, there were 25 of them. How many people came to the choir?"
75,75,"	1.76. В оранжевом зале кинотеатра 40 мест, и столько же в белом зале. После начала сеанса в залах осталось 20 свободных мест. Сколько зрителей смотрели фильмы в обоих залах?",неизвестно,"There are 40 seats in the orange hall of the cinema, and the same number in the white hall. After the start of the session, there are 20 free seats left in the halls. How many people watched the films in both halls? "
76,76,"	1.77. Незнайка приготовил для мозаики разноцветные стёклышки. Когда он собрал узор, в нём оказалось 12 стёклышек жёлтого цвета, а стёклышек красного цвета – на 8 больше, чём жёлтых. Ещё осталось 10 синих стёклышек. Сколько стёклышек приготовил Незнайка для своей работы?",неизвестно," Dunno prepared colorful glasses for the mosaic. When he collected the pattern, it turned out to be 12 pieces of yellow glass, and 8 pieces of red pieces more than yellow pieces. There are still 10 blue glasses left. How many glasses did Dunno prepare for his work? "
77,77,"	1.78. В аквариуме было сначала несколько рыбок. Когда ребята пустили туда ещё 8 больших рыбок и 7 маленьких, то в нём стало 20 рыбок. Сколько рыбок было в аквариуме сначала?",животные," At first there were some fish in the aquarium. When the guys put in 8 more big fish and 7 small ones, then there were 20 fish in it. How many fish were in the aquarium first?"
78,78,"	1.79. Позвоночник – опора тела человека. В нём выделяют 5 отделов: шейный – 7 позвонков, грудной – 12, поясничный – 5, крестцовый – 5, копчиковый -5. Сколько всего позвонков у человека?",неизвестно,"The spine is the support of the human body. There are 5 sections in it: cervical - 7 vertebrae, thoracic - 12, lumbar - 5, sacral - 5, coccygeal -5. How many vertebrae does a person have? "
79,79,"	1.80*. На решение задачи Витя Малеев затратил 15 мин, столько же – на решение уравнений, а на решение примеров – столько минут, сколько на решение задачи и уравнений вместе. Сколько времени затратил Витя Малеев на выполнение всех заданий?",неизвестно," Vitya Maleev spent 15 minutes on solving the problem, the same amount on solving equations, and on solving examples - as many minutes as on solving the problem and equations together. How much time did Vitya Maleev spend on completing all the tasks? "
80,80,"	1.81. Верно ли говорят, что бывают прямоугольники, которые не являются квадратами? Выбери правильный ответ.",неизвестно, Is it true that there are rectangles that are not squares? Choose the correct answer.
81,81,	1.82. Составь и реши задачу по краткой записи.   Было – 38 коп.,неизвестно,Create and solve a problem using a short note. It was 38 kopecks. 
82,82,	1.85. Прочитай и реши задачу. Выбери правильный ответ.,неизвестно, Read and solve the problem. Choose the correct answer. 
83,83,	1.86. Прочитай и реши  задачу. Выбери правильный ответ.,неизвестно, Read and solve the problem. Choose the correct answer.
84,84,"	2.1. Муравей нашёл соломинку возле дома и потащил её к муравейнику. Когда он прополз 35 м, ему осталось ползти на 10 м меньше того пути, который он проделал. На каком расстоянии от дерева находится муравейник?",животные,"The ant found a straw near the house and dragged it to the anthill. When he crawled 35 m, he had 10 m less to crawl than the path that he did. How far is the anthill from the tree? "
85,85,	2.2. Для своей оригинальной поделки Мальвина взяла из коробки 25 деталей. В коробке осталось ещё 2 раза по столько же деталей. Сколько всего деталей было у Мальвины в коробке?,неизвестно," For her original craft, Malvina took 25 pieces from the box. There are 2 more parts left in the box, with the same number of parts. How many parts did Malvina have in the box? "
86,86,"	2.3. В магазине до обеда продали 38 кг творога, а после обеда – на 24 кг меньше. Сколько килограммов творога продали за весь день?",неизвестно, The store sold 38 kg of cottage cheese before lunch and 24 kg less in the afternoon. How many kilograms of cottage cheese were sold for the whole day?
87,87,"	2.4. Очень популярны во всём мире соревнования по гребле на байдарках и каноэ. По правилам масса байдарки-одиночки не должна превышать 12 кг, а каноэ может быть на 4 кг тяжелее. Сколько весит каноэ с гребцом, масса которого составляет 60 кг?",спорт,"Rowing and canoeing competitions are very popular all over the world. According to the rules, the mass of a single kayak should not exceed 12 kg, and the canoe can be 4 kg heavier. How much does a canoe with a rower weigh, weighing 60 kg? "
88,88,"	2.5. В первой школе 20 учеников-отличников, во второй столько же, а в третьей на 10 учеников меньше, чем в первой и во второй вместе. Сколько учеников-отличников в третьей школе? Сколько всего учеников-отличников в этих трёх школах?",неизвестно," The first school has 20 excellent students, the second has the same number, and the third has 10 less students than the first and the second together. How many excellent students are there in the third school? How many excellent students are there in these three schools? "
89,89,"	2.6. Всю неделю Карлсон летал в гости. В понедельник он совершил 7 полётов (после чего во вторник отдыхал), в среду он сделал на 5 вылетов меньше, чем в понедельник, а в субботу и воскресенье – на 8 вылетов больше, чем в среду. Сколько раз Карлсон побывал в гостях в выходные дни?",неизвестно," Carlson flew to visit all week. On Monday, he made 7 flights (after which he took a rest on Tuesday), on Wednesday he made 5 flights less than on Monday, and on Saturday and Sunday - 8 more flights than on Wednesday. How many times has Carlson been a guest on the weekend?"
90,90,"	2.7. Третьеклассники участвовали в акции «Книге – вторую жизнь». Ученики 3-а класса принесли 18 книг в библиотеку. Ученики 3-б класса собрали на 5 книг больше, чем ученики 3-а класса, а ученики 3-в класса принесли на 12 книг меньше, чем ученики 3-б класса. Сколько книг принесли ученики 3-в класса? Сколько всего книг принесли третьеклассники для школьной библиотеки?",литература,"Third-graders took part in the action ""Book - a second life"". Grade 3 students brought 18 books to the library. Pupils of the 3rd grade collected 5 books more than the students of the 3rd grade, and the students of the 3rd grade brought 12 less books than the students of the 3rd grade. How many books did the 3rd grade students bring? How many books did third graders bring for the school library in total? "
91,91,"	2.8. В парке на одну клумбу посадили 15 гладиолусов, лилий – на 8 больше, а тюльпанов – столько, сколько гладиолусов и лилий вместе. Сколько тюльпанов посадили в парке?",неизвестно," 15 gladioli were planted on one flowerbed in the park, 8 more lilies, and as many tulips as gladioli and lilies together. How many tulips have been planted in the park? "
92,92,"	2.9. В столовой приготовили 8 первых блюд, вторых блюд – на 2 меньше, а десерта – на 12 больше, чем первых и вторых блюд вместе. Сколько десерта приготовили в столовой?",неизвестно," 8 first courses were prepared in the canteen, 2 less main courses, and 12 more desserts than the first and second courses combined. How much dessert was prepared in the dining room?"
93,93,"	2.10. Привезли 30 кг грецких орехов, земляных – на 12 кг больше, а кедровых – столько, сколько земляных и грецких орехов вместе. Сколько килограммов кедровых орехов привезли?",неизвестно,"They brought 30 kg of walnuts, peanuts - 12 kg more, and pine nuts - as much as peanuts and walnuts together. How many kilograms of pine nuts did you bring? "
94,94,"	2.11. В магазине за день продали 15 кг творога, а сыра – на столько же больше. Сколько всего творога и сыра продали за день?",неизвестно," The store sold 15 kg of cottage cheese per day, and the same amount of cheese. How much total cottage cheese and cheese were sold in a day? "
95,95,"	2.12. Школьники за лето собрали 23 кг клевера, а душицы – на 9 кг больше. Сколько всего килограммов лекарственных трав собрали дети?",неизвестно," During the summer, schoolchildren harvested 23 kg of clover, and oregano - 9 kg more. How many kilograms of medicinal herbs did the children collect?"
96,96,"	2.13. На одной аллее посадили 24 саженца черёмухи, а на другой – на 13 деревьев меньше. Сколько всего черёмухи посадили?",неизвестно,"On one alley, 24 bird cherry seedlings were planted, and on the other - 13 trees fewer. How many bird cherry trees have been planted? "
97,97,"	2.14. В автосервисе за месяц отремонтировали 18 грузовых машин, гоночных – на столько же больше, а легковых – столько, сколько грузовых и гоночных машин вместе. Сколько легковых машин отремонтировали за месяц?",неизвестно," In a car service, 18 trucks were repaired in a month, racing - as many more, and cars - as many as trucks and racing cars together. How many cars were repaired in a month? "
98,98,"	2.15. К 1 сентября некоторые школы оборудовали компьютерами. В одну школу завезли 25 компьютеров, в другую – на 2 компьютера меньше. Сколько всего компьютеров получили школы?",неизвестно," By September 1, some schools were equipped with computers. 25 computers were delivered to one school, 2 fewer computers to another. How many computers did schools receive?"
99,99,"	2.16. Авиационный завод выпустил 26 самолётов, истребителей – на 8 меньше, авиалайнеров – столько, сколько самолётов и истребителей вместе. Сколько авиалайнеров выпустил авиационный завод?",неизвестно,How many airliners did the aircraft plant produce? 
100,100,"	2.17. В аквариуме 26 скалярий, меченосцев – на 3 больше, а барбусов – на 5 меньше, чем скалярий и меченосцев вместе. Сколько барбусов в аквариуме?",животные," There are 26 scalars in the aquarium, 3 more swordtails, and 5 fewer barbs than scalar and swordtails together. How many barbs are in the aquarium? "
101,101,"	2.18. В современном русском алфавите 33 буквы, в кириллице их было на 10 больше. А самый первый алфавит содержал на 21 букву меньше, чем кириллица2. Сколько букв было в первом алфавите?",неизвестно," There are 33 letters in the modern Russian alphabet, in the Cyrillic alphabet there were 10 more. And the very first alphabet contained 21 letters less than the Cyrillic alphabet2. How many letters were in the first alphabet?"
102,102,"	2.19. При раскопках археологами3 было обнаружено 27 берестяных грамот, древних черепков – на 9 штук меньше, а древних орудий труда – столько, сколько берестяных грамот и черепков вместе. Сколько орудий труда было обнаружено археологами?",неизвестно,"During excavations, archaeologists3 discovered 27 birch bark letters, ancient shards - 9 pieces less, and ancient tools - as many as birch bark letters and shards together. How many tools have been found by archaeologists? "
103,103,"	2.20. Турист, путешествовавший по Африке, на своём пути насчитал 63 баобаба, а пальм – на 36 больше. Сколько всего деревьев увидел турист?",неизвестно," A tourist traveling in Africa counted 63 baobabs on his way, and 36 more palms. How many trees did the tourist see? "
104,104,"	2.21. Летом школьники засушили 23 кг черники, шиповника – на 15 кг меньше, чем черники, а аптечной ромашки – на 4 кг больше, чем шиповника. Сколько ромашки заготовили школьники?",неизвестно," In summer, schoolchildren dried 23 kg of blueberries, rose hips - 15 kg less than blueberries, and chamomile - 4 kg more than rose hips. How many chamomile did the schoolchildren prepare?"
