,id,category,keywords
481,481,литература,руб; книга; ручка; прочитать; решить; сделать; 15
482,482,животные,высота
483,483,спорт,шаг; проходить; занимать; длина; получить; равный; дом; пройти
484,484,литература,тетрадь; мама; прочитать; рубль
485,485,спорт,играть; игрок; команда; мяч; задача; решить
486,486,литература,решить; сделать
487,487,животные,весить; смотреть
488,488,животные,вид; 20; день
489,489,спорт,велосипедист; составлять; лодка; ступенька; задача; решить; пройти; ехать
490,490,литература,решить; рубль; школа; накопить
491,491,животные,тело; масса
492,492,литература,решить; остаться; посадить; школа
493,493,спорт,велосипедист; группа; задача; решить; ехать
494,494,литература,шоколадный; руб; подарок; тетрадь; сначала; решить; рубль; школа; купить
495,495,животные,смородина
496,496,животные,собака
497,497,спорт,век; получить; задача; решить; пройти
498,498,животные,маленький
499,499,животные,год
500,500,спорт,мяч; математический; задача; лодка; мина; получить; равный; решить; пристань
501,501,животные,фотография; год
502,502,литература,бабушка; книга; тетрадь; шапочка; красный; решить; клубника
503,503,животные,мышь; ночь; день
504,504,спорт,команда; соревнование; играть; игрок; задача; решить
505,505,литература,слово; купить
506,506,литература,домик; тетрадь
507,507,животные,высота; это
508,508,спорт,пакет; математический; задача; решить
509,509,животные,год; день
510,510,животные,это; день
511,511,литература,написать
512,512,животные,птица; высота; хвост; двор
513,513,животные,яблоко; ящик; килограмм
